node,L-CORTEX_VISUAL,L-CORTEX_SOMATOSENSORY,L-CORTEX_MOTOR,L-CORTEX_AUDITORY,L-CORTEX_TEMPORAL_ASSOC,L-CORTEX_PREFRONTAL,L-CORTEX_INSULAR,L-CORTEX_GUSTATORY,L-CORTEX_RETROSPLENIAL,L-PARAHIPPOCAMPAL/ENTORHINAL,L-HIPPOCAMPAL FORMATION,L-AMYGDALA,L-BASALGANGLIA_STRIATUM,L-BASALGANGLIA_PALLIDUM,L-SEPTUM,L-BASAL_FOREBRAIN,L-THALAMUS,L-THALAMUS_VISUAL,L-THALAMUS_AUDITORY,L-HYPOTHALAMUS,L-EPITHALAMUS/HABENULA,L-MIDBRAIN,L-PONS,L-MEDULLA,L-CEREBELLUM,L-OLFACTORY,L-LIMBIC_CORTEX,L-WHITE_MATTER,L-VENTRICLES_CSF,L-CRANIAL_NERVES,L-ISOCORTEX_MASK,L-GLOBAL_MASKS,L-BACKGROUND,R-CORTEX_VISUAL,R-CORTEX_SOMATOSENSORY,R-CORTEX_MOTOR,R-CORTEX_AUDITORY,R-CORTEX_TEMPORAL_ASSOC,R-CORTEX_PREFRONTAL,R-CORTEX_INSULAR,R-CORTEX_GUSTATORY,R-CORTEX_RETROSPLENIAL,R-PARAHIPPOCAMPAL/ENTORHINAL,R-HIPPOCAMPAL FORMATION,R-AMYGDALA,R-BASALGANGLIA_STRIATUM,R-BASALGANGLIA_PALLIDUM,R-SEPTUM,R-BASAL_FOREBRAIN,R-THALAMUS,R-THALAMUS_VISUAL,R-THALAMUS_AUDITORY,R-HYPOTHALAMUS,R-EPITHALAMUS/HABENULA,R-MIDBRAIN,R-PONS,R-MEDULLA,R-CEREBELLUM,R-OLFACTORY,R-LIMBIC_CORTEX,R-WHITE_MATTER,R-VENTRICLES_CSF,R-CRANIAL_NERVES,R-ISOCORTEX_MASK,R-GLOBAL_MASKS,R-BACKGROUND
L-CORTEX_VISUAL,10521.477837999999,12147.793629,2822.797336,1452.274038,2802.76394,340.767138,2726.7728,795.906317,3057.268853,10245.192725,8911.939479,1683.063846,1564.8696100000002,125.702003,174.373937,276.210211,5857.626354,263.922838,160.443111,530.957531,387.64966799999996,3782.4506020000003,2188.525604,2001.524758,4453.412395,7829.525346,194.003535,4231.20901,1425.5975290000001,1014.180918,14.083766,198.63121700000002,0.0,1662.8993,1131.533762,816.19226,88.375719,230.194327,50.131743,85.01074200000001,10.791516,3062.097212,93.157322,1069.912982,694.543532,374.068128,21.705199,53.427127,70.113066,1075.574939,67.161084,9.014243,480.787144,21.227542,1532.63227,600.868395,1063.4701790000001,3138.1404469999998,596.795127,86.78519299999999,1174.4894630000001,867.308132,454.95475700000003,3.11734,820.883808,0.0
L-CORTEX_SOMATOSENSORY,12147.793629,17472.996556,9228.041824,3060.928195,5983.04414,1821.449793,6077.309728,2150.240328,1212.674795,14211.196828,4342.793773,1248.073167,4171.650926,57.598234000000005,1657.962726,343.483211,1331.078188,94.037758,103.60200499999999,844.4352470000001,672.68245,1095.585325,3095.0056130000003,319.96946099999997,867.889715,17051.513702,147.67544900000001,2812.2994160000003,502.581838,1246.632918,13.858108999999999,8.934908,0.0,1361.224687,3029.960759,1351.450233,139.698577,120.349212,148.619433,668.193583,287.033471,355.546244,96.335956,548.3250820000001,205.53269300000002,1993.32003,82.046987,753.284703,151.81773600000002,892.952151,7.886372,9.841986,777.72822,48.045759,283.17267200000003,342.107858,258.57762,415.77810900000003,1951.559632,106.083699,1050.599851,326.595155,415.14780099999996,2.787048,37.151398,0.0
L-CORTEX_MOTOR,2822.797336,9228.041824,15652.663786,947.849698,1184.179347,4858.800289,2616.130567,573.4089369999999,2060.456613,3500.06479,2276.731542,2303.2063930000004,9388.345859000001,87.98025399999999,275.491867,1012.709562,2126.935203,167.328916,31.192344000000006,1117.179476,875.2936870000001,1252.648684,1497.2907349999998,265.83084099999996,485.32370199999997,20045.110822,153.647135,2847.171124,505.709804,1016.2674499999999,30.68461,5.4781200000000005,0.0,500.739225,1475.763145,2079.965086,67.20575000000001,36.324701000000005,342.531344,561.831744,368.874843,228.14661,42.765203,124.985193,145.996528,881.3215250000001,13.494753,498.108953,118.651701,241.449604,3.751175,0.37526,271.454236,35.250969999999995,192.075317,157.615471,317.745023,276.149719,1753.987647,78.40421,442.443548,81.422849,147.748099,1.3417080000000001,19.801708,0.0
L-CORTEX_AUDITORY,1452.274038,3060.928195,947.849698,358.899074,1047.41855,43.345198,717.372938,130.737059,177.569978,1230.407909,176.136242,44.685556,230.520966,8.03771,12.085998,14.436764,147.509283,30.398398999999998,1.54517,42.014506,59.912228000000006,44.063698,56.668459,15.881303,59.426976,1315.5887050000001,40.653446,284.840921,20.040763000000002,43.286860000000004,0.0,0.0,0.0,95.579247,159.066521,171.708591,19.272643000000002,13.964536,16.605284,10.557403,2.02986,61.415333,8.22441,113.717789,15.996403,97.327658,11.871440000000002,8.983134999999999,8.00758,72.047225,3.826909,2.95214,62.227519,1.4296769999999999,31.918093000000002,15.963449,17.011536,39.760963000000004,79.150042,4.109717,95.305269,15.296989,32.594336999999996,0.870177,0.834046,0.0
L-CORTEX_TEMPORAL_ASSOC,2802.76394,5983.04414,1184.179347,1047.41855,507.52662799999996,67.768759,937.742692,203.53777499999998,316.89473,1425.962659,717.14999,188.514143,329.048217,13.891175,13.457568,50.718757999999994,1055.528668,150.80798000000001,18.908333,122.999717,79.68170599999999,268.694873,198.285083,482.77501,590.488126,2227.3821159999998,25.920925999999998,645.102308,283.166971,117.035502,4.1692789999999995,76.543814,0.0,313.043473,221.774799,246.394078,15.580241,253.664593,8.582668,14.044059,5.028397999999999,251.99779800000002,17.222368,122.600103,42.244224,122.25287800000001,8.962271,17.865748,4.398387,129.862271,2.4666420000000002,0.0,62.058966,14.967432,296.42562,450.28571600000004,930.10394,183.970804,190.322515,8.558126999999999,515.063924,40.046774,100.95191100000001,0.0,41.366333,0.0
L-CORTEX_PREFRONTAL,340.76713800000005,1821.449793,4858.800289,43.345197999999996,67.768759,502.08277599999997,32.297752,0.9824390000000001,1187.958308,212.656058,180.693304,190.561674,1134.607749,11.602586,6.011282,105.65341799999999,458.472202,9.326465,0.964154,283.270464,51.444087999999994,119.08664,138.324252,24.973443,91.69790499999999,2466.877629,9.398953,840.2020210000001,93.315159,177.576586,0.0,0.0,0.0,270.42386799999997,1534.602374,1898.7455149999998,51.213606,15.922189,380.296898,435.94738,176.037234,109.803603,17.417544,43.605902,59.73979,558.134949,8.611386,13.032875,52.197762999999995,105.131726,0.0,0.8210219999999999,173.022338,29.988447,96.747674,52.823463,39.013393,369.739759,1268.654347,152.131692,430.317911,46.563793,68.224922,0.0,1.006621,0.0
L-CORTEX_INSULAR,2726.7728,6077.309728,2616.130567,717.372938,937.742692,32.297752,164.565786,83.68420900000001,524.928364,1933.6762569999999,398.018967,140.219579,1151.96664,14.13567,15.447568,89.444899,195.97655,19.142661,0.0,27.745592000000002,93.493897,29.531821,273.954178,37.002925,163.061122,3130.171563,2.098134,474.363377,46.070194,46.852674,4.463136,0.46482,0.0,52.048555,86.678432,51.0784,5.396057,2.3617559999999997,3.91699,16.273464,2.657658,22.337969,4.923953,19.346512,54.19821999999999,142.703067,5.19426,8.408276,65.24470099999999,28.813193000000002,1.61927,0.0,50.077667,3.61233,10.500984,19.341193,45.111177,19.787343999999997,133.250382,4.864066,28.623019,5.2321740000000005,36.853496,1.54124,1.8549769999999999,0.0
L-CORTEX_GUSTATORY,795.9063170000001,2150.240328,573.4089369999999,130.737059,203.537775,0.9824390000000001,83.684209,3.80508,59.135991,375.33117599999997,66.18425,4.895925,112.25719,0.0,27.695739999999997,0.971568,16.232665,0.0,0.0,10.836977000000001,14.2013,6.333706,32.737561,11.505876,17.103518,437.94646800000004,2.32227,114.337361,4.031273,1.03629,0.0,0.0,0.0,10.855655,20.835798,11.532173,0.0,0.30599,2.297668,5.272345,6.93731,6.039263,0.0,0.68123,3.45255,13.095875,0.0,9.99305,3.5338000000000003,4.669099,0.0,0.0,3.259119,0.0,1.02096,5.8175099999999995,2.8785819999999998,0.7816339999999999,7.8640550000000005,0.0,10.481627999999999,0.5602,8.55439,0.0,0.685101,0.0
L-CORTEX_RETROSPLENIAL,3057.268853,1212.674795,2060.456613,177.569978,316.89473,1187.958308,524.928364,59.135991,880.95681,1275.845781,3765.333841,973.5344769999999,2522.9035259999996,22.987213999999998,127.57957800000001,280.028464,1350.971202,67.371495,54.478526,390.11895000000004,181.616883,1972.649592,1250.659546,1947.494979,1103.829443,6494.844879,180.389589,1759.33377,650.933723,599.035277,6.964108,87.05168400000001,0.0,1010.024288,1337.03572,441.032025,167.236655,97.725987,86.505913,55.458486,38.394801,1769.088994,113.549861,849.827278,365.43005700000003,284.929264,3.49617,80.97806800000001,52.968254,1214.198539,47.127305,3.810599,309.18271599999997,7.113325,1419.195496,383.101334,605.259945,1772.633074,687.7677639999999,96.94771,827.265354,642.072694,306.098857,1.7691029999999999,212.497033,0.0
L-PARAHIPPOCAMPAL/ENTORHINAL,10245.192724999999,14211.196828,3500.06479,1230.407909,1425.962659,212.656058,1933.6762569999999,375.331176,1275.845781,1226.730822,1965.363225,1707.010567,1811.591655,185.73115,55.647081,427.143421,1764.030294,288.23286,67.61342,255.70989600000001,368.418536,1520.336134,717.9793719999999,221.165649,785.346541,7593.6870260000005,103.64591,1777.752966,186.992162,749.229536,13.766295,2.86662,0.0,607.0362,505.800745,569.604262,36.806764,64.020271,42.788323999999996,43.284359,15.470824000000002,720.635115,54.57338,381.121949,142.88083999999998,261.495746,50.855609,41.080752,47.563547,334.437145,15.428593,1.6505800000000002,230.708517,40.24493999999999,410.627966,129.306594,196.021176,255.68379599999997,516.6002589999999,38.609154000000004,407.918598,68.03806,156.363271,2.1231,13.16331,0.0
