compact_idx,raw_id,base_raw_id,hemi,name
1,3,3,L,L-AAA
2,12,12,L,L-ACAd1
3,13,13,L,L-ACAd2-3
4,14,14,L,L-ACAd5
5,15,15,L,L-ACAd6a
6,16,16,L,L-ACAd6b
7,18,18,L,L-ACAv1
8,19,19,L,L-ACAv2-3
9,20,20,L,L-ACAv5
10,22,22,L,L-ACAv6b
11,23,23,L,L-ACB
12,24,24,L,L-aco
13,25,25,L,L-act
14,28,28,L,L-AD
15,31,31,L,L-AHN
16,38,38,L,L-AId1
17,39,39,L,L-AId2-3
18,40,40,L,L-AId5
19,41,41,L,L-AId6a
20,44,44,L,L-AIp1
21,45,45,L,L-AIp2-3
22,46,46,L,L-AIp5
23,47,47,L,L-AIp6a
24,48,48,L,L-AIp6b
25,50,50,L,L-AIv1
26,51,51,L,L-AIv2-3
27,52,52,L,L-AIv5
28,53,53,L,L-AIv6a
29,55,55,L,L-alv
30,57,57,L,L-AMB
31,60,60,L,L-amc
32,61,61,L,L-AMd
33,62,62,L,L-AMv
34,64,64,L,L-ANcr1
35,68,68,L,L-ANcr2
36,77,77,L,L-AON
37,89,89,L,L-APN
38,90,90,L,L-AQ
39,92,92,L,L-ARH
40,94,94,L,L-AT
41,98,98,L,L-AUDd1
42,99,99,L,L-AUDd2-3
43,100,100,L,L-AUDd4
44,101,101,L,L-AUDd5
45,102,102,L,L-AUDd6a
46,103,103,L,L-AUDd6b
47,105,105,L,L-AUDp1
48,106,106,L,L-AUDp2-3
49,107,107,L,L-AUDp4
50,108,108,L,L-AUDp5
51,110,110,L,L-AUDp6b
52,112,112,L,L-AUDpo1
53,113,113,L,L-AUDpo2-3
54,114,114,L,L-AUDpo4
55,115,115,L,L-AUDpo5
56,117,117,L,L-AUDpo6b
57,119,119,L,L-AUDv1
58,120,120,L,L-AUDv2-3
59,121,121,L,L-AUDv4
60,122,122,L,L-AUDv5
61,124,124,L,L-AUDv6b
62,125,125,L,L-AV
63,126,126,L,L-AVP
64,127,127,L,L-AVPV
65,129,129,L,L-BA
66,132,132,L,L-bic
67,134,134,L,L-BLAa
68,135,135,L,L-BLAp
69,136,136,L,L-BLAv
70,138,138,L,L-BMAa
71,139,139,L,L-BMAp
72,141,141,L,L-bsc
73,142,142,L,L-BST
74,161,161,L,L-CA1
75,166,166,L,L-CA2
76,171,171,L,L-CA3
77,177,177,L,L-CB
78,178,178,L,L-cbc
79,188,188,L,L-ccg
80,190,190,L,L-ccs
81,193,193,L,L-CEAc
82,194,194,L,L-CEAl
83,195,195,L,L-CEAm
84,197,197,L,L-CENT2
85,201,201,L,L-CENT3
86,208,208,L,L-chpl
87,209,209,L,L-cic
88,210,210,L,L-cing
89,212,212,L,L-CLA
90,213,213,L,L-CLI
91,214,214,L,L-CM
92,221,221,L,L-COAa
93,226,226,L,L-COApl
94,231,231,L,L-COApl3
95,238,238,L,L-COPY
96,242,242,L,L-CP
97,243,243,L,L-cpd
98,245,245,L,L-crt
99,247,247,L,L-csc
100,250,250,L,L-cst
101,257,257,L,L-CTXsp
102,262,262,L,"L-CUL4,_5"
103,273,273,L,L-CUN
104,276,276,L,L-das
105,281,281,L,L-DCO
106,282,282,L,L-DEC
107,286,286,L,L-df
108,300,300,L,L-DG-mo
109,301,301,L,L-DG-po
110,302,302,L,L-DG-sg
111,304,304,L,L-dhc
112,307,307,L,L-DMH
113,311,311,L,L-DMX
114,312,312,L,L-DN
115,315,315,L,L-DP
116,321,321,L,L-DR
117,323,323,L,L-dscp
118,324,324,L,L-DT
119,325,325,L,L-dtd
120,326,326,L,L-DTN
121,328,328,L,L-ec
122,331,331,L,L-ECT1
123,332,332,L,L-ECT2-3
124,333,333,L,L-ECT5
125,334,334,L,L-ECT6a
126,335,335,L,L-ECT6b
127,337,337,L,L-ee
128,339,339,L,L-em
129,342,342,L,L-ENTl1
130,343,343,L,L-ENTl2
131,347,347,L,L-ENTl3
132,349,349,L,L-ENTl4-5
133,352,352,L,L-ENTl6a
134,355,355,L,L-ENTm1
135,356,356,L,L-ENTm2
136,359,359,L,L-ENTm3
137,361,361,L,L-ENTm5
138,363,363,L,L-ENTm6
139,371,371,L,L-EPd
140,375,375,L,L-EPv
141,377,377,L,L-EW
142,378,378,L,L-fa
143,380,380,L,L-FF
144,381,381,L,L-fi
145,382,382,L,L-fiber_tracts
146,383,383,L,L-FL
147,387,387,L,L-FN
148,388,388,L,L-FOTU
149,392,392,L,L-fp
150,394,394,L,L-fr
151,398,398,L,L-FS
152,399,399,L,L-fx
153,405,405,L,L-GPe
154,406,406,L,L-GPi
155,410,410,L,L-GRN
156,415,415,L,L-GU1
157,416,416,L,L-GU2-3
158,417,417,L,L-GU4
159,418,418,L,L-GU5
160,419,419,L,L-GU6a
161,420,420,L,L-GU6b
162,423,423,L,L-hbc
163,429,429,L,L-HPF
164,430,430,L,L-HY
165,431,431,L,L-IA
166,432,432,L,L-IAD
167,434,434,L,L-IAM
168,438,438,L,L-ICB
169,439,439,L,L-ICc
170,440,440,L,L-ICd
171,441,441,L,L-ICe
172,443,443,L,L-icp
173,444,444,L,L-IF
