compact_idx,raw_id,base_raw_id,hemi,name,name_pretty
1,3,3,L,L-AAA,L-AMYGDALA_OTHER
2,12,12,L,L-ACAd1,L-CORTEX_PREFRONTAL
3,13,13,L,L-ACAd2-3,L-CORTEX_PREFRONTAL
4,14,14,L,L-ACAd5,L-CORTEX_PREFRONTAL
5,15,15,L,L-ACAd6a,L-CORTEX_PREFRONTAL
6,16,16,L,L-ACAd6b,L-CORTEX_PREFRONTAL
7,18,18,L,L-ACAv1,L-CORTEX_PREFRONTAL
8,19,19,L,L-ACAv2-3,L-CORTEX_PREFRONTAL
9,20,20,L,L-ACAv5,L-CORTEX_PREFRONTAL
10,22,22,L,L-ACAv6b,L-CORTEX_PREFRONTAL
11,23,23,L,L-ACB,L-BASALGANGLIA_STRIATUM
12,24,24,L,L-aco,L-WHITE_MATTER
13,25,25,L,L-act,L-WHITE_MATTER
14,28,28,L,L-AD,L-THALAMUS
15,31,31,L,L-AHN,L-HYPOTHALAMUS
16,40,40,L,L-AId5,L-CORTEX_INSULAR
17,41,41,L,L-AId6a,L-CORTEX_INSULAR
18,44,44,L,L-AIp1,L-CORTEX_INSULAR
19,45,45,L,L-AIp2-3,L-CORTEX_INSULAR
20,46,46,L,L-AIp5,L-CORTEX_INSULAR
21,47,47,L,L-AIp6a,L-CORTEX_INSULAR
22,50,50,L,L-AIv1,L-CORTEX_INSULAR
23,51,51,L,L-AIv2-3,L-CORTEX_INSULAR
24,52,52,L,L-AIv5,L-CORTEX_INSULAR
25,53,53,L,L-AIv6a,L-CORTEX_INSULAR
26,55,55,L,L-alv,L-WHITE_MATTER
27,57,57,L,L-AMB,L-MEDULLA
28,59,59,L,L-AMBv,L-MEDULLA
29,60,60,L,L-amc,L-AMYGDALA
30,61,61,L,L-AMd,L-THALAMUS
31,62,62,L,L-AMv,L-THALAMUS
32,64,64,L,L-ANcr1,L-THALAMUS
33,68,68,L,L-ANcr2,L-THALAMUS
34,77,77,L,L-AON,L-OLFACTORY
35,86,86,L,L-AP,L-MEDULLA
36,89,89,L,L-APN,L-MIDBRAIN
37,90,90,L,L-AQ,L-VENTRICLES_CSF
38,92,92,L,L-ARH,L-HYPOTHALAMUS
39,94,94,L,L-AT,L-THALAMUS
40,98,98,L,L-AUDd1,L-CORTEX_AUDITORY
41,99,99,L,L-AUDd2-3,L-CORTEX_AUDITORY
42,100,100,L,L-AUDd4,L-CORTEX_AUDITORY
43,101,101,L,L-AUDd5,L-CORTEX_AUDITORY
44,102,102,L,L-AUDd6a,L-CORTEX_AUDITORY
45,103,103,L,L-AUDd6b,L-CORTEX_AUDITORY
46,105,105,L,L-AUDp1,L-CORTEX_AUDITORY
47,106,106,L,L-AUDp2-3,L-CORTEX_AUDITORY
48,107,107,L,L-AUDp4,L-CORTEX_AUDITORY
49,108,108,L,L-AUDp5,L-CORTEX_AUDITORY
50,110,110,L,L-AUDp6b,L-CORTEX_AUDITORY
51,112,112,L,L-AUDpo1,L-CORTEX_AUDITORY
52,113,113,L,L-AUDpo2-3,L-CORTEX_AUDITORY
53,114,114,L,L-AUDpo4,L-CORTEX_AUDITORY
54,115,115,L,L-AUDpo5,L-CORTEX_AUDITORY
55,117,117,L,L-AUDpo6b,L-CORTEX_AUDITORY
56,120,120,L,L-AUDv2-3,L-CORTEX_AUDITORY
57,121,121,L,L-AUDv4,L-CORTEX_AUDITORY
58,122,122,L,L-AUDv5,L-CORTEX_AUDITORY
59,124,124,L,L-AUDv6b,L-CORTEX_AUDITORY
60,125,125,L,L-AV,L-THALAMUS
61,126,126,L,L-AVP,L-THALAMUS
62,127,127,L,L-AVPV,L-HYPOTHALAMUS
63,128,128,L,L-B,L-BASAL_FOREBRAIN
64,129,129,L,L-BA,L-BASAL_FOREBRAIN
65,132,132,L,L-bic,L-WHITE_MATTER
66,134,134,L,L-BLAa,L-AMYGDALA_BLA
67,135,135,L,L-BLAp,L-AMYGDALA_BLA
68,136,136,L,L-BLAv,L-AMYGDALA_BLA
69,138,138,L,L-BMAa,L-AMYGDALA_BMA
70,139,139,L,L-BMAp,L-AMYGDALA_BMA
71,141,141,L,L-bsc,L-WHITE_MATTER
72,142,142,L,L-BST,L-SEPTUM
73,161,161,L,L-CA1,L-HIPPOCAMPAL FORMATION
74,166,166,L,L-CA2,L-HIPPOCAMPAL FORMATION
75,171,171,L,L-CA3,L-HIPPOCAMPAL FORMATION
76,177,177,L,L-CB,L-CEREBELLUM
77,178,178,L,L-cbc,L-CEREBELLUM
78,188,188,L,L-ccg,L-WHITE_MATTER
79,190,190,L,L-ccs,L-WHITE_MATTER
80,193,193,L,L-CEAc,L-AMYGDALA_CE
81,194,194,L,L-CEAl,L-AMYGDALA_CE
82,195,195,L,L-CEAm,L-AMYGDALA_CE
83,197,197,L,L-CENT2,L-CEREBELLUM
84,201,201,L,L-CENT3,L-CEREBELLUM
85,208,208,L,L-chpl,L-VENTRICLES_CSF
86,209,209,L,L-cic,L-MIDBRAIN
87,210,210,L,L-cing,L-LIMBIC_CORTEX
88,212,212,L,L-CLA,L-LIMBIC_CORTEX
89,213,213,L,L-CLI,L-LIMBIC_CORTEX
90,214,214,L,L-CM,L-THALAMUS
91,221,221,L,L-COAa,L-AMYGDALA_CORTICAL
92,226,226,L,L-COApl,L-AMYGDALA_CORTICAL
93,231,231,L,L-COApl3,L-AMYGDALA_CORTICAL
94,238,238,L,L-COPY,L-GLOBAL_MASKS
95,242,242,L,L-CP,L-BASALGANGLIA_STRIATUM
96,243,243,L,L-cpd,L-WHITE_MATTER
97,245,245,L,L-crt,L-WHITE_MATTER
98,247,247,L,L-csc,L-WHITE_MATTER
99,250,250,L,L-cst,L-WHITE_MATTER
100,257,257,L,L-CTXsp,L-ISOCORTEX_MASK
101,258,258,L,L-CU,L-MEDULLA
102,262,262,L,"L-CUL4,_5",L-CEREBELLUM
103,273,273,L,L-CUN,L-MEDULLA
104,281,281,L,L-DCO,L-MEDULLA
105,282,282,L,L-DEC,L-WHITE_MATTER
106,286,286,L,L-df,L-WHITE_MATTER
107,300,300,L,L-DG-mo,L-HIPPOCAMPAL FORMATION
108,301,301,L,L-DG-po,L-HIPPOCAMPAL FORMATION
109,302,302,L,L-DG-sg,L-HIPPOCAMPAL FORMATION
110,304,304,L,L-dhc,L-WHITE_MATTER
111,307,307,L,L-DMH,L-HYPOTHALAMUS
112,311,311,L,L-DMX,L-MEDULLA
113,312,312,L,L-DN,L-CEREBELLUM
114,315,315,L,L-DP,L-CORTEX_PREFRONTAL
115,321,321,L,L-DR,L-MIDBRAIN
116,323,323,L,L-dscp,L-WHITE_MATTER
117,324,324,L,L-DT,L-WHITE_MATTER
118,326,326,L,L-DTN,L-MIDBRAIN
119,328,328,L,L-ec,L-WHITE_MATTER
120,333,333,L,L-ECT5,L-CORTEX_TEMPORAL_ASSOC
121,334,334,L,L-ECT6a,L-CORTEX_TEMPORAL_ASSOC
