node,L-CORTEX_VISUAL,L-CORTEX_SOMATOSENSORY,L-CORTEX_MOTOR,L-CORTEX_AUDITORY,L-CORTEX_TEMPORAL_ASSOC,L-CORTEX_PREFRONTAL,L-CORTEX_INSULAR,L-CORTEX_GUSTATORY,L-CORTEX_RETROSPLENIAL,L-PARAHIPPOCAMPAL/ENTORHINAL,L-HIPPOCAMPAL FORMATION,L-AMYGDALA,L-BASALGANGLIA_STRIATUM,L-BASALGANGLIA_PALLIDUM,L-SEPTUM,L-BASAL_FOREBRAIN,L-THALAMUS,L-THALAMUS_VISUAL,L-THALAMUS_AUDITORY,L-HYPOTHALAMUS,L-EPITHALAMUS/HABENULA,L-MIDBRAIN,L-PONS,L-MEDULLA,L-CEREBELLUM,L-OLFACTORY,L-LIMBIC_CORTEX,L-WHITE_MATTER,L-VENTRICLES_CSF,L-CRANIAL_NERVES,L-ISOCORTEX_MASK,L-GLOBAL_MASKS,L-BACKGROUND,R-CORTEX_VISUAL,R-CORTEX_SOMATOSENSORY,R-CORTEX_MOTOR,R-CORTEX_AUDITORY,R-CORTEX_TEMPORAL_ASSOC,R-CORTEX_PREFRONTAL,R-CORTEX_INSULAR,R-CORTEX_GUSTATORY,R-CORTEX_RETROSPLENIAL,R-PARAHIPPOCAMPAL/ENTORHINAL,R-HIPPOCAMPAL FORMATION,R-AMYGDALA,R-BASALGANGLIA_STRIATUM,R-BASALGANGLIA_PALLIDUM,R-SEPTUM,R-BASAL_FOREBRAIN,R-THALAMUS,R-THALAMUS_VISUAL,R-THALAMUS_AUDITORY,R-HYPOTHALAMUS,R-EPITHALAMUS/HABENULA,R-MIDBRAIN,R-PONS,R-MEDULLA,R-CEREBELLUM,R-OLFACTORY,R-LIMBIC_CORTEX,R-WHITE_MATTER,R-VENTRICLES_CSF,R-CRANIAL_NERVES,R-ISOCORTEX_MASK,R-GLOBAL_MASKS,R-BACKGROUND
L-CORTEX_VISUAL,20252.929564000002,12298.317813,3886.4121550000004,3466.049081,4130.491823,2305.516647,3899.603488,849.338625,876.0833120000001,6286.012546,1963.65794,2326.221504,10632.676864,236.322948,624.560652,3791.621279,5930.996424,213.93240600000001,81.55982,3115.244601,1001.818983,2032.020542,1027.173999,477.868695,1129.5382280000001,17127.818033,388.186274,6874.355508,974.947925,1404.921397,17.082664,32.878629,0.0,2402.117564,749.809444,2088.235472,256.043206,357.889063,641.688265,332.319783,23.884927,1892.141803,128.18246,299.22573,510.072151,3838.923797,123.873695,253.717399,1651.08833,2523.395007,42.148706000000004,1.31054,2921.432542,40.639954,887.237381,470.401604,125.36495400000001,1048.900336,3724.6327020000003,15.683875,3713.977246,675.695285,898.8645240000001,2.33044,169.630162,0.0
L-CORTEX_SOMATOSENSORY,12298.317813,22218.565606,8900.973523999999,8047.387785,4883.965814,4973.911388,7854.747514000001,1302.4977039999999,2221.35812,5353.517675,1495.649053,1311.554315,5890.958387,215.938578,1920.400828,1974.59189,3227.42263,156.162523,16.34262,974.889878,2493.311322,1517.341242,1098.49803,525.067173,1564.9668339999998,20353.67882,423.75715,6017.752582,556.749201,616.6585,27.691539,77.912003,0.0,5118.480595,1514.46138,1135.734492,1003.7585029999999,551.712635,606.425105,1247.161025,128.52249999999998,1629.788478,178.240884,518.572237,325.136698,4550.2446390000005,62.221471,763.2726279999999,1780.0465089999998,5350.016877999999,34.084981,0.0,873.928203,95.842774,866.772031,208.523086,72.572481,2002.669617,6146.476266,50.683116,2333.021106,799.0413899999999,220.98582299999998,3.34013,57.235107,0.0
L-CORTEX_MOTOR,3886.412155,8900.973523999999,3413.102922,95.11659,334.796717,2203.387412,2587.66203,1174.3317299999999,1884.783341,2896.084016,800.41554,1905.353887,1885.8826900000001,16.129038,331.682202,483.52196000000004,1033.468357,22.13052,6.13885,184.764243,1607.83074,443.14912100000004,1863.8483449999999,535.775356,701.877912,13061.891184999999,275.92566,1123.735324,312.251925,112.85305199999999,109.94714200000001,40.95227,0.0,6337.357211,5820.72527,1722.193015,1476.803027,398.82175899999993,2492.198965,2804.732373,335.628457,2624.906437,40.971702,260.489715,45.169347,1597.361377,10.22451,179.415324,234.80728200000001,602.963428,16.407852000000002,0.0,125.063767,92.224706,316.3584,38.24478,46.67857,534.29033,5149.51894,97.68166,581.253549,179.09882199999998,85.990264,1.120635,40.80196,0.0
L-CORTEX_AUDITORY,3466.049081,8047.387785,95.11659,61.444238,287.247943,23.425470999999998,1032.0307010000001,196.276957,76.096628,227.266574,185.505878,260.749951,1245.363861,20.166423,10.41862,510.34655000000004,138.543443,7.61726,0.0,138.916324,299.00411199999996,121.369935,75.562142,8.376104999999999,158.631311,3311.0953009999994,31.667099999999994,768.013988,63.286882,78.167716,0.887175,8.623818,0.0,65.91713200000001,19.9575,81.242873,6.84429,7.557982,10.227409,5.053502,0.0,23.228904999999997,6.811949,8.792732,16.239644,89.52139700000001,3.35373,1.80525,51.63812600000001,383.010533,0.0,0.0,96.772295,0.0,36.997177,3.592843,2.5060320000000003,224.187294,54.894718,0.0,1143.0083300000001,133.619267,19.019645,0.0,6.9883109999999995,0.0
L-CORTEX_TEMPORAL_ASSOC,4130.491823,4883.965814,334.796717,287.24794299999996,152.87419599999998,36.138197,334.137051,51.153155,108.667466,748.06767,115.884308,307.76632900000004,777.23024,3.3044700000000002,14.700696,234.221031,1761.39754,4.105259,0.0,108.931035,114.597151,224.66338,327.739549,727.02739,858.7786649999999,1813.648478,8.66628,1106.345003,582.5091600000001,63.112767000000005,3.85426,94.136054,0.0,301.003717,631.8041870000001,145.79632800000002,7.32785,56.364534,26.830075,10.269653,0.682479,79.335114,7.394331,68.754637,15.437156,176.862488,10.09542,16.91896,57.393528,572.700839,24.00858,0.0,91.902748,0.0,529.924348,387.618857,1188.951159,756.078539,151.738521,1.8628749999999998,1291.629898,388.774709,135.35319,0.0,72.463655,0.0
L-CORTEX_PREFRONTAL,2305.516647,4973.911388,2203.387412,23.425471,36.138197,1137.459644,41.692815,8.53993,1431.325277,516.763038,190.295809,320.274149,1442.276077,2.063331,50.668833,440.02794000000006,624.825082,7.385804,1.290768,46.389085,344.21969,238.44207699999998,373.952252,274.294787,337.719785,4118.9369369999995,32.509343,513.3617840000001,186.001294,46.046107000000006,0.0,24.7659,0.0,2935.357367,2866.712775,852.493109,684.0862070000001,141.534526,646.469046,1187.401451,137.885968,1144.8645119999999,5.284069000000001,151.90427,14.259397,407.83217499999995,3.276878,14.15357,46.601944,242.00468999999998,22.005921,0.0,40.943137,41.190138000000005,241.70018900000002,5.479837,17.527869000000003,207.40670799999998,2505.220575,32.026506,244.41723100000002,49.299606000000004,32.486855,0.0,8.034834,0.0
L-CORTEX_INSULAR,3899.603488,7854.747514,2587.66203,1032.030701,334.13705100000004,41.692814999999996,44.395754,23.81727,148.72671400000002,329.51088,233.49690999999999,158.916469,2308.66211,193.94870199999997,321.15235,555.0656349999999,475.65855,34.02326,3.727232,100.268622,77.28185300000001,266.716387,32.906429,46.400094,362.364911,2540.82071,2.7322360000000003,686.76122,123.63458399999999,81.388242,3.4347399999999997,13.590799,0.0,246.38474300000001,91.20620699999999,113.082412,51.333311,37.169172,19.048664,38.236533,3.186869,47.47164,15.685079,17.066446,51.797333,709.737816,13.883131,159.53955000000002,337.130761,1178.887529,0.0,0.0,86.184556,13.186430000000001,87.252269,22.155387,35.553822,737.737731,682.541137,1.48375,760.399349,441.637816,46.037513000000004,0.0,190.908363,0.0
L-CORTEX_GUSTATORY,849.338625,1302.4977039999999,1174.33173,196.27695699999998,51.153155,8.53993,23.81727,0.0,39.430239,24.609062,32.027243,67.42305,566.086824,100.69089,129.91047,197.38209999999998,323.33953099999997,1.71621,0.72984,69.508039,39.4392,66.479614,18.049692,24.136766,180.915822,501.24051999999995,0.0,151.283138,32.003177,27.589475,0.0,0.6765,0.0,43.996432999999996,16.43824,37.201937,1.6284,4.033141,2.4619099999999996,3.83329,0.0,1.519,10.913998999999999,5.02048,33.083059,243.23381,5.76312,47.61527,161.34162,439.132111,0.0,0.0,67.62087,0.0,18.854174999999998,20.63582,7.711746,95.12295400000001,58.696886000000006,0.0,157.41021999999998,95.66991999999999,14.669699999999999,0.0,16.139066,0.0
L-CORTEX_RETROSPLENIAL,876.083312,2221.35812,1884.783341,76.096628,108.667466,1431.325277,148.72671400000002,39.430239,335.358236,4456.9908940000005,850.875739,93.298534,439.13733300000007,25.56763,71.366065,143.61295,4830.651033,17.956668,19.5568,494.784687,33.626415,237.615708,120.30405,136.86042799999998,1240.883057,711.340727,43.373905,791.941313,699.621139,191.693238,0.0,94.625358,0.0,1497.259493,1014.899241,537.1126380000001,325.56166,91.58359,1225.0494,1153.218943,136.360162,515.3384199999999,29.808068,314.472343,127.509624,1947.8774349999999,47.596689999999995,84.014959,487.862748,473.711727,86.452315,0.0,924.4950369999999,22.859559,289.806678,36.963569,17.932502,202.599706,3856.360772,28.830199999999998,1189.031305,78.76165,360.265204,0.0,3.27379,0.0
L-PARAHIPPOCAMPAL/ENTORHINAL,6286.012546,5353.517675,2896.084016,227.266574,748.06767,516.763038,329.51088,24.609061999999998,4456.9908940000005,945.1676980000001,859.513348,1932.332804,1839.4522400000003,12.194537,191.15961000000001,292.400867,1551.923509,423.852688,3.89506,189.946643,342.81318699999997,404.76502400000004,605.7237,1292.5949,3059.185724,3789.390899,24.30327,2698.353064,1102.966189,436.33373,26.732736,427.65589,0.0,272.684246,92.075156,872.5221779999999,39.112437,40.965457,352.706082,55.634495,4.34254,142.84450800000002,26.166225,41.604897,19.123086999999998,174.82216799999998,4.681743000000001,17.307454,37.559056,290.06821,0.842628,0.0,157.519382,7.523233000000001,65.70941,29.076252,157.723034,1205.597169,393.398825,7.227664,294.288402,408.75371900000005,71.036283,0.0,105.5954,0.0
