rank,region,mean_rank_x0,mean_rank_susc,mean_rank_infl,x0_crit__Anderson_1,x0_crit__Anderson_2,x0_crit__Arnold_1,x0_crit__Arnold_3,x0_crit__Arnold_4,D_susc__Anderson_1,D_susc__Anderson_2,D_susc__Arnold_1,D_susc__Arnold_3,D_susc__Arnold_4,D_infl__Anderson_1,D_infl__Anderson_2,D_infl__Arnold_1,D_infl__Arnold_3,D_infl__Arnold_4
1,L-ISOCORTEX_MASK,1.4,3.4,3.4,-2.056953125,-2.057109375,-2.055234375,-2.056484375,-2.06171875,578.204155618625,578.569575183777,574.467063572472,577.291548108924,588.839274698521,578.204155618625,578.569575183777,574.467063572472,577.291548108924,588.839274698521
2,R-ISOCORTEX_MASK,2.4,4.4,4.4,-2.056171875,-2.058203125,-2.057109375,-2.05578125,-2.0390625,576.497289557682,580.915148756868,578.627491579227,575.747874580192,541.864542102554,576.497289557682,580.915148756868,578.627491579227,575.747874580192,541.864542102554
3,L-THALAMUS_AUDITORY,3.6,5.6,5.6,-2.038828125,-2.04328125,-2.040546875,-2.0409375,-2.048828125,541.387363806224,549.992892827435,544.654829765829,545.440661004767,561.159083054567,541.387363806224,549.992892827435,544.654829765829,545.440661004767,561.159083054567
4,R-THALAMUS_AUDITORY,5,7,7,-2.04796875,-2.047578125,-1.978125,-2.0321875,-2.0484375,559.305267083975,558.536369121421,445.992670718832,529.04011280458,560.34610033426,559.305267083975,558.536369121421,445.992670718832,529.04011280458,560.34610033426
5,L-BASALGANGLIA_PALLIDUM,6.8,8.8,8.8,-2.012578125,-2.02953125,-2.008046875,-2.04921875,-2.0246875,495.629468098263,524.264953926461,488.465910667371,561.828760869516,515.668911571172,495.629468098263,524.264953926461,488.465910667371,561.828760869516,515.668911571172
6,R-THALAMUS_VISUAL,6.8,8.8,8.8,-2.027109375,-2.003203125,-2.0153125,-2.023828125,-2.0346875,519.935598318782,481.058662471116,499.94699913927,514.228518300034,533.494525094027,519.935598318782,481.058662471116,499.94699913927,514.228518300034,533.494525094027
7,R-BASALGANGLIA_PALLIDUM,7,9,9,-2.0228125,-2.000078125,-2.03828125,-2.012578125,-2.039609375,512.480159916501,476.42469744575,540.251419598761,495.542804313587,542.899762523831,512.480159916501,476.42469744575,540.251419598761,495.542804313587,542.899762523831
8,L-EPITHALAMUS/HABENULA,8.6,10.6,10.6,-1.97046875,-2.00421875,-1.968984375,-2.018828125,-2.051796875,436.313863519206,482.605556646454,434.567511315619,505.793199532207,567.272474049253,436.313863519206,482.605556646454,434.567511315619,505.793199532207,567.272474049253
9,L-THALAMUS_VISUAL,9,11,11,-1.988671875,-2.029375,-1.982734375,-2.02046875,-2.011953125,460.12253507054,523.954793526252,452.083285932034,508.486779666884,494.502534474604,460.12253507054,523.954793526252,452.083285932034,508.486779666884,494.502534474604
10,R-EPITHALAMUS/HABENULA,9,11,11,-2.005,-2.036015625,-2.015703125,-2.0078125,-1.952734375,483.788826990111,536.097238478749,500.640401603433,488.110024787662,415.412435032056,483.788826990111,536.097238478749,500.640401603433,488.110024787662,415.412435032056
